pred: fbmj0, true: fadg0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fjrp1, true: feme0, file: sa1, noise: SIGNAL013.wav, level: 0 dB.
pred: feme0, true: feme0, file: sa2, noise: SIGNAL016.wav, level: 0 dB.
pred: fjlr0, true: fetb0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: flag0, true: fetb0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: mpmb0, true: fexm0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: ftaj0, true: fexm0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: mctw0, true: fgcs0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: mctw0, true: fgcs0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fgdp0, true: fgdp0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: mctw0, true: fgdp0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: mpmb0, true: fgjd0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: mrml0, true: fgjd0, file: sa2, noise: SIGNAL015.wav, level: 0 dB.
pred: mctw0, true: fgmb0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fjsk0, true: fgmb0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fjdm2, true: fgmd0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fjrp1, true: fgmd0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fsag0, true: fgrw0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fjdm2, true: fgrw0, file: sa2, noise: SIGNAL005.wav, level: 0 dB.
pred: mtbc0, true: fgwr0, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: fjrp1, true: fgwr0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: mctw0, true: fhes0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: mrml0, true: fhes0, file: sa2, noise: SIGNAL015.wav, level: 0 dB.
pred: mpmb0, true: fhew0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: mpmb0, true: fhew0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fpac0, true: fhlm0, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: flag0, true: fhlm0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: mctw0, true: fhxs0, file: sa1, noise: SIGNAL021.wav, level: 0 dB.
pred: mpmb0, true: fhxs0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fsag0, true: fisb0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fisb0, true: fisb0, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: fsrh0, true: fjas0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: mtbc0, true: fjas0, file: sa2, noise: SIGNAL006.wav, level: 0 dB.
pred: fjdm2, true: fjcs0, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: fjdm2, true: fjcs0, file: sa2, noise: SIGNAL010.wav, level: 0 dB.
pred: fisb0, true: fjdm2, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: fjdm2, true: fjdm2, file: sa2, noise: SIGNAL001.wav, level: 0 dB.
pred: mejs0, true: fjem0, file: sa1, noise: SIGNAL009.wav, level: 0 dB.
pred: fclt0, true: fjem0, file: sa2, noise: SIGNAL017.wav, level: 0 dB.
pred: fbjl0, true: fjen0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: mctw0, true: fjen0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: mwem0, true: fjhk0, file: sa1, noise: SIGNAL009.wav, level: 0 dB.
pred: fbjl0, true: fjhk0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: mctw0, true: fjkl0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fjsk0, true: fjkl0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: fsag0, true: fjlg0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fjdm2, true: fjlg0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: mctw0, true: fjlm0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fvfb0, true: fjlm0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fjsp0, true: fjlr0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: mctw0, true: fjlr0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fjlg0, true: fjmg0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: flag0, true: fjmg0, file: sa2, noise: SIGNAL020.wav, level: 0 dB.
pred: fsjg0, true: fjrb0, file: sa1, noise: SIGNAL010.wav, level: 0 dB.
pred: fbjl0, true: fjrb0, file: sa2, noise: SIGNAL016.wav, level: 0 dB.
pred: mwem0, true: fjre0, file: sa1, noise: SIGNAL018.wav, level: 0 dB.
pred: fjre0, true: fjre0, file: sa2, noise: SIGNAL016.wav, level: 0 dB.
pred: mctw0, true: fjrp1, file: sa1, noise: SIGNAL021.wav, level: 0 dB.
pred: fjrp1, true: fjrp1, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: mrml0, true: fjsa0, file: sa1, noise: SIGNAL015.wav, level: 0 dB.
pred: fjrp1, true: fjsa0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: flag0, true: fjsj0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fscn0, true: fjsj0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fjsk0, true: fjsk0, file: sa1, noise: SIGNAL001.wav, level: 0 dB.
pred: feme0, true: fjsk0, file: sa2, noise: SIGNAL011.wav, level: 0 dB.
pred: fsag0, true: fjsp0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fjdm2, true: fjsp0, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: mctw0, true: fjwb0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: mctw0, true: fjwb0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fjlm0, true: fjwb1, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fceg0, true: fjwb1, file: sa2, noise: SIGNAL005.wav, level: 0 dB.
pred: fjdm2, true: fjxm0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: mwrp0, true: fjxm0, file: sa2, noise: SIGNAL019.wav, level: 0 dB.
pred: mpab0, true: fjxp0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fbas0, true: fjxp0, file: sa2, noise: SIGNAL014.wav, level: 0 dB.
pred: fsah0, true: fkaa0, file: sa1, noise: SIGNAL021.wav, level: 0 dB.
pred: fjdm2, true: fkaa0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: mter0, true: fkde0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: mctw0, true: fkde0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: mctw0, true: fkdw0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fkde0, true: fkdw0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: fbjl0, true: fkfb0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fsah0, true: fkfb0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: mrml0, true: fkkh0, file: sa1, noise: SIGNAL015.wav, level: 0 dB.
pred: fbjl0, true: fkkh0, file: sa2, noise: SIGNAL016.wav, level: 0 dB.
pred: fsag0, true: fklc0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: flag0, true: fklc0, file: sa2, noise: SIGNAL020.wav, level: 0 dB.
pred: fclt0, true: fklc1, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: fsag0, true: fklc1, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: fjxm0, true: fklh0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: flag0, true: fklh0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: fjrp1, true: fkms0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fjrp1, true: fkms0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: fjrp1, true: fksr0, file: sa1, noise: SIGNAL013.wav, level: 0 dB.
pred: mbdg0, true: fksr0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: mwem0, true: flac0, file: sa1, noise: SIGNAL018.wav, level: 0 dB.
pred: fkfb0, true: flac0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: flag0, true: flag0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fjdm2, true: flag0, file: sa2, noise: SIGNAL014.wav, level: 0 dB.
pred: mpmb0, true: flas0, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: msfh1, true: flas0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: fjdm2, true: flbw0, file: sa1, noise: SIGNAL010.wav, level: 0 dB.
pred: mctw0, true: flbw0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fjdm2, true: fleh0, file: sa1, noise: SIGNAL010.wav, level: 0 dB.
pred: fjdm2, true: fleh0, file: sa2, noise: SIGNAL010.wav, level: 0 dB.
pred: fsag0, true: flet0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fjdm2, true: flet0, file: sa2, noise: SIGNAL011.wav, level: 0 dB.
pred: fjrp1, true: flhd0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fceg0, true: flhd0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: flag0, true: flja0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fkfb0, true: flja0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fcmh1, true: fljd0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fjsk0, true: fljd0, file: sa2, noise: SIGNAL017.wav, level: 0 dB.
pred: fpac0, true: fljg0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: marw0, true: fljg0, file: sa2, noise: SIGNAL010.wav, level: 0 dB.
pred: mctw0, true: flkd0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fjdm2, true: flkd0, file: sa2, noise: SIGNAL010.wav, level: 0 dB.
pred: fjdm2, true: flkm0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: mpmb0, true: flkm0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fjrp1, true: flma0, file: sa1, noise: SIGNAL023.wav, level: 0 dB.
pred: fjrp1, true: flma0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: mtbc0, true: flmc0, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: fslb1, true: flmc0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: fjrp1, true: flmk0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fbas0, true: flmk0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fjrp1, true: flnh0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fjrp1, true: flnh0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: flod0, true: flod0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fbjl0, true: flod0, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: fpac0, true: fltm0, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: majp0, true: fltm0, file: sa2, noise: SIGNAL019.wav, level: 0 dB.
pred: fjdm2, true: fmaf0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fajw0, true: fmaf0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: mahh0, true: fmah0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: flag0, true: fmah0, file: sa2, noise: SIGNAL020.wav, level: 0 dB.
pred: mtbc0, true: fmah1, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: fkfb0, true: fmah1, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: mmeb0, true: fmbg0, file: sa1, noise: SIGNAL008.wav, level: 0 dB.
pred: fjrp1, true: fmbg0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: fjsa0, true: fmcm0, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: frew0, true: fmcm0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: mtbc0, true: fmem0, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: mdac0, true: fmem0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: fljg0, true: fmgd0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fmaf0, true: fmgd0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: frew0, true: fmjb0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fjlr0, true: fmjb0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: fsag0, true: fmjf0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fjrp1, true: fmjf0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: mpmb0, true: fmju0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: mrml0, true: fmju0, file: sa2, noise: SIGNAL015.wav, level: 0 dB.
pred: flag0, true: fmkc0, file: sa1, noise: SIGNAL010.wav, level: 0 dB.
pred: flac0, true: fmkc0, file: sa2, noise: SIGNAL014.wav, level: 0 dB.
pred: mctw0, true: fmkf0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fkfb0, true: fmkf0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fceg0, true: fmld0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fjrp1, true: fmld0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: fjrp1, true: fmmh0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: mcmb0, true: fmmh0, file: sa2, noise: SIGNAL006.wav, level: 0 dB.
pred: fsag0, true: fmml0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: mmjb1, true: fmml0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fjem0, true: fmpg0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fsag0, true: fmpg0, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: flag0, true: fnkl0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fsag0, true: fnkl0, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: mctw0, true: fnlp0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: msfh1, true: fnlp0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: mbar0, true: fnmr0, file: sa1, noise: SIGNAL010.wav, level: 0 dB.
pred: mter0, true: fnmr0, file: sa2, noise: SIGNAL014.wav, level: 0 dB.
pred: mjvw0, true: fntb0, file: sa1, noise: SIGNAL019.wav, level: 0 dB.
pred: fpac0, true: fntb0, file: sa2, noise: SIGNAL011.wav, level: 0 dB.
pred: mctw0, true: fpab1, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fsag0, true: fpab1, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: flag0, true: fpac0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fpac0, true: fpac0, file: sa2, noise: SIGNAL011.wav, level: 0 dB.
pred: fjrp1, true: fpad0, file: sa1, noise: SIGNAL013.wav, level: 0 dB.
pred: fbjl0, true: fpad0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fjem0, true: fpaf0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: flag0, true: fpaf0, file: sa2, noise: SIGNAL020.wav, level: 0 dB.
pred: majp0, true: fpas0, file: sa1, noise: SIGNAL018.wav, level: 0 dB.
pred: fjrp1, true: fpas0, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: fsag0, true: fpaz0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: mhjb0, true: fpaz0, file: sa2, noise: SIGNAL015.wav, level: 0 dB.
pred: fjsk0, true: fpjf0, file: sa1, noise: SIGNAL024.wav, level: 0 dB.
pred: majp0, true: fpjf0, file: sa2, noise: SIGNAL008.wav, level: 0 dB.
pred: mctw0, true: fpkt0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fjen0, true: fpkt0, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: mctw0, true: fpls0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fjen0, true: fpls0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: mbar0, true: fpmy0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fpmy0, true: fpmy0, file: sa2, noise: SIGNAL016.wav, level: 0 dB.
pred: fltm0, true: fram1, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fjrp1, true: fram1, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: fsag0, true: freh0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: mmeb0, true: freh0, file: sa2, noise: SIGNAL008.wav, level: 0 dB.
pred: flet0, true: frew0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fslb1, true: frew0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fbmj0, true: frjb0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fjdm2, true: frjb0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: mtbc0, true: frll0, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: fbjl0, true: frll0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
