pred: fhes0, true: fadg0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fpac0, true: fcmg0, file: sa2, noise: SIGNAL010.wav, level: 0 dB.
pred: fmld0, true: fcmh0, file: sa1, noise: SIGNAL021.wav, level: 0 dB.
pred: fcmh0, true: fcmh0, file: sa2, noise: SIGNAL006.wav, level: 0 dB.
pred: fpaz0, true: fcmh1, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fcmh1, true: fcmh1, file: sa2, noise: SIGNAL015.wav, level: 0 dB.
pred: fcmm0, true: fcmm0, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: fhes0, true: fcmm0, file: sa2, noise: SIGNAL008.wav, level: 0 dB.
pred: fcmr0, true: fcmr0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fhes0, true: fcmr0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fcrh0, true: fcrh0, file: sa1, noise: SIGNAL024.wav, level: 0 dB.
pred: flkm0, true: fcrh0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: fcrz0, true: fcrz0, file: sa1, noise: SIGNAL015.wav, level: 0 dB.
pred: fcrz0, true: fcrz0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: flkd0, true: fcyl0, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: fcyl0, true: fcyl0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fjas0, true: fdac1, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: fmem0, true: fdac1, file: sa2, noise: SIGNAL011.wav, level: 0 dB.
pred: fdas1, true: fdas1, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: ftmg0, true: fdas1, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: ftlg0, true: fdaw0, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: fdas1, true: fdaw0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fdfb0, true: fdfb0, file: sa1, noise: SIGNAL021.wav, level: 0 dB.
pred: fdfb0, true: fdfb0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fdhc0, true: fdhc0, file: sa1, noise: SIGNAL024.wav, level: 0 dB.
pred: ftmg0, true: fdhc0, file: sa2, noise: SIGNAL002.wav, level: 0 dB.
pred: fexm0, true: fdjh0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fjsa0, true: fdjh0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: fmcm0, true: fdkn0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fjas0, true: fdkn0, file: sa2, noise: SIGNAL010.wav, level: 0 dB.
pred: fcjs0, true: fdml0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: ftbr0, true: fdml0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fdms0, true: fdms0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fdms0, true: fdms0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fdmy0, true: fdmy0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fdmy0, true: fdmy0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: fecd0, true: fdnc0, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: fdnc0, true: fdnc0, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: fdrd1, true: fdrd1, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fvkb0, true: fdrd1, file: sa2, noise: SIGNAL006.wav, level: 0 dB.
pred: fdrw0, true: fdrw0, file: sa1, noise: SIGNAL023.wav, level: 0 dB.
pred: fcmr0, true: fdrw0, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: fdtd0, true: fdtd0, file: sa1, noise: SIGNAL010.wav, level: 0 dB.
pred: fdtd0, true: fdtd0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: fdxw0, true: fdxw0, file: sa1, noise: SIGNAL001.wav, level: 0 dB.
pred: fdxw0, true: fdxw0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: fskl0, true: feac0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fnkl0, true: feac0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fear0, true: fear0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fear0, true: fear0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: fecd0, true: fecd0, file: sa1, noise: SIGNAL024.wav, level: 0 dB.
pred: fecd0, true: fecd0, file: sa2, noise: SIGNAL005.wav, level: 0 dB.
pred: fslb1, true: fedw0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fedw0, true: fedw0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: feeh0, true: feeh0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fjsp0, true: feeh0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: felc0, true: felc0, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: felc0, true: felc0, file: sa2, noise: SIGNAL001.wav, level: 0 dB.
pred: feme0, true: feme0, file: sa1, noise: SIGNAL013.wav, level: 0 dB.
pred: feme0, true: feme0, file: sa2, noise: SIGNAL016.wav, level: 0 dB.
pred: fpaz0, true: fetb0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fetb0, true: fetb0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: fexm0, true: fexm0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fcal1, true: fexm0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: fjwb1, true: fgcs0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fjsa0, true: fgcs0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fgdp0, true: fgdp0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fsjs0, true: fgdp0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fgjd0, true: fgjd0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: fjxp0, true: fgjd0, file: sa2, noise: SIGNAL015.wav, level: 0 dB.
pred: flhd0, true: fgmb0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fjrp1, true: fgmb0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: freh0, true: fgmd0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fgmd0, true: fgmd0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fgrw0, true: fgrw0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fgrw0, true: fgrw0, file: sa2, noise: SIGNAL005.wav, level: 0 dB.
pred: fgwr0, true: fgwr0, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: fgwr0, true: fgwr0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: fhes0, true: fhes0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fhes0, true: fhes0, file: sa2, noise: SIGNAL015.wav, level: 0 dB.
pred: fhew0, true: fhew0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: fhes0, true: fhew0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fskl0, true: fhlm0, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: fpaz0, true: fhlm0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: fhxs0, true: fhxs0, file: sa1, noise: SIGNAL021.wav, level: 0 dB.
pred: fjas0, true: fhxs0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fisb0, true: fisb0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fisb0, true: fisb0, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: fjwb1, true: fjas0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: fjas0, true: fjas0, file: sa2, noise: SIGNAL006.wav, level: 0 dB.
pred: frll0, true: fjcs0, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: fjcs0, true: fjcs0, file: sa2, noise: SIGNAL010.wav, level: 0 dB.
pred: fjdm2, true: fjdm2, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: fjdm2, true: fjdm2, file: sa2, noise: SIGNAL001.wav, level: 0 dB.
pred: fjem0, true: fjem0, file: sa1, noise: SIGNAL009.wav, level: 0 dB.
pred: fgcs0, true: fjem0, file: sa2, noise: SIGNAL017.wav, level: 0 dB.
pred: fbjl0, true: fjen0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fjsa0, true: fjen0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fnmr0, true: fjhk0, file: sa1, noise: SIGNAL009.wav, level: 0 dB.
pred: fdtd0, true: fjhk0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fjkl0, true: fjkl0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fjkl0, true: fjkl0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: fpad0, true: fjlg0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fjlg0, true: fjlg0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: fjwb1, true: fjlm0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fjlm0, true: fjlm0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fkfb0, true: fjlr0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: fjxp0, true: fjlr0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fjmg0, true: fjmg0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fceg0, true: fjmg0, file: sa2, noise: SIGNAL020.wav, level: 0 dB.
pred: fjrb0, true: fjrb0, file: sa1, noise: SIGNAL010.wav, level: 0 dB.
pred: fjrb0, true: fjrb0, file: sa2, noise: SIGNAL016.wav, level: 0 dB.
pred: fjre0, true: fjre0, file: sa1, noise: SIGNAL018.wav, level: 0 dB.
pred: fjre0, true: fjre0, file: sa2, noise: SIGNAL016.wav, level: 0 dB.
pred: fgcs0, true: fjrp1, file: sa1, noise: SIGNAL021.wav, level: 0 dB.
pred: fjrp1, true: fjrp1, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: fjsa0, true: fjsa0, file: sa1, noise: SIGNAL015.wav, level: 0 dB.
pred: fjsa0, true: fjsa0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: fjem0, true: fjsj0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fjsj0, true: fjsj0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fjsk0, true: fjsk0, file: sa1, noise: SIGNAL001.wav, level: 0 dB.
pred: fvfb0, true: fjsk0, file: sa2, noise: SIGNAL011.wav, level: 0 dB.
pred: fpad0, true: fjsp0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fjsp0, true: fjsp0, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: fjwb0, true: fjwb0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fbas0, true: fjwb0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fjwb1, true: fjwb1, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fjwb1, true: fjwb1, file: sa2, noise: SIGNAL005.wav, level: 0 dB.
pred: fjxm0, true: fjxm0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fjxm0, true: fjxm0, file: sa2, noise: SIGNAL019.wav, level: 0 dB.
pred: fjxp0, true: fjxp0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fjxp0, true: fjxp0, file: sa2, noise: SIGNAL014.wav, level: 0 dB.
pred: fltm0, true: fkaa0, file: sa1, noise: SIGNAL021.wav, level: 0 dB.
pred: fkaa0, true: fkaa0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fgcs0, true: fkde0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: flkd0, true: fkde0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fjsp0, true: fkdw0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fcau0, true: fkdw0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: fkfb0, true: fkfb0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: flet0, true: fkfb0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fclt0, true: fkkh0, file: sa1, noise: SIGNAL015.wav, level: 0 dB.
pred: fkkh0, true: fkkh0, file: sa2, noise: SIGNAL016.wav, level: 0 dB.
pred: fklc0, true: fklc0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fnkl0, true: fklc0, file: sa2, noise: SIGNAL020.wav, level: 0 dB.
pred: fclt0, true: fklc1, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: fpaf0, true: fklc1, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: fsgf0, true: fklh0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fklh0, true: fklh0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: fkms0, true: fkms0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fgwr0, true: fkms0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: fjlg0, true: fksr0, file: sa1, noise: SIGNAL013.wav, level: 0 dB.
pred: frll0, true: fksr0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fjwb1, true: flac0, file: sa1, noise: SIGNAL018.wav, level: 0 dB.
pred: fgcs0, true: flac0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: flag0, true: flag0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fbch0, true: flag0, file: sa2, noise: SIGNAL014.wav, level: 0 dB.
pred: flas0, true: flas0, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: flas0, true: flas0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: flbw0, true: flbw0, file: sa1, noise: SIGNAL010.wav, level: 0 dB.
pred: ftbr0, true: flbw0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fexm0, true: fleh0, file: sa1, noise: SIGNAL010.wav, level: 0 dB.
pred: fjlg0, true: fleh0, file: sa2, noise: SIGNAL010.wav, level: 0 dB.
pred: fhes0, true: flet0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fhes0, true: flet0, file: sa2, noise: SIGNAL011.wav, level: 0 dB.
pred: flhd0, true: flhd0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: flhd0, true: flhd0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: fjsa0, true: flja0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fsgf0, true: flja0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fcjs0, true: fljd0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fljg0, true: fljd0, file: sa2, noise: SIGNAL017.wav, level: 0 dB.
pred: falk0, true: fljg0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fljg0, true: fljg0, file: sa2, noise: SIGNAL010.wav, level: 0 dB.
pred: fjen0, true: flkd0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: flja0, true: flkd0, file: sa2, noise: SIGNAL010.wav, level: 0 dB.
pred: flkm0, true: flkm0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fslb1, true: flkm0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: flma0, true: flma0, file: sa1, noise: SIGNAL023.wav, level: 0 dB.
pred: flma0, true: flma0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: flmc0, true: flmc0, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: fcmr0, true: flmc0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: flmk0, true: flmk0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: flmk0, true: flmk0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fkkh0, true: flnh0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fdfb0, true: flnh0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: flod0, true: flod0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: flod0, true: flod0, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: fltm0, true: fltm0, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: fltm0, true: fltm0, file: sa2, noise: SIGNAL019.wav, level: 0 dB.
pred: fmaf0, true: fmaf0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fmaf0, true: fmaf0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: fceg0, true: fmah0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fsgf0, true: fmah0, file: sa2, noise: SIGNAL020.wav, level: 0 dB.
pred: fmah1, true: fmah1, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: fsgf0, true: fmah1, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fjem0, true: fmbg0, file: sa1, noise: SIGNAL008.wav, level: 0 dB.
pred: fmbg0, true: fmbg0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: fsgf0, true: fmcm0, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: flac0, true: fmcm0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: fmem0, true: fmem0, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: fmem0, true: fmem0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: fmgd0, true: fmgd0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fljg0, true: fmgd0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: flkd0, true: fmjb0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fgcs0, true: fmjb0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: flmk0, true: fmjf0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fmjf0, true: fmjf0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: fmju0, true: fmju0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: fcmh1, true: fmju0, file: sa2, noise: SIGNAL015.wav, level: 0 dB.
pred: fmkc0, true: fmkc0, file: sa1, noise: SIGNAL010.wav, level: 0 dB.
pred: fmkc0, true: fmkc0, file: sa2, noise: SIGNAL014.wav, level: 0 dB.
pred: fbjl0, true: fmkf0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fmml0, true: fmkf0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fmld0, true: fmld0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fmld0, true: fmld0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: fmmh0, true: fmmh0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fmml0, true: fmmh0, file: sa2, noise: SIGNAL006.wav, level: 0 dB.
pred: fmml0, true: fmml0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fmml0, true: fmml0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fsgf0, true: fmpg0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fbch0, true: fmpg0, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: fnkl0, true: fnkl0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fnkl0, true: fnkl0, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: fjwb1, true: fnlp0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fnlp0, true: fnlp0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: fnmr0, true: fnmr0, file: sa1, noise: SIGNAL010.wav, level: 0 dB.
pred: faem0, true: fnmr0, file: sa2, noise: SIGNAL014.wav, level: 0 dB.
pred: fntb0, true: fntb0, file: sa1, noise: SIGNAL019.wav, level: 0 dB.
pred: fpaf0, true: fntb0, file: sa2, noise: SIGNAL011.wav, level: 0 dB.
pred: fsgf0, true: fpab1, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fpab1, true: fpab1, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: fjem0, true: fpac0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fgcs0, true: fpac0, file: sa2, noise: SIGNAL011.wav, level: 0 dB.
pred: fpad0, true: fpad0, file: sa1, noise: SIGNAL013.wav, level: 0 dB.
pred: fpad0, true: fpad0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fmml0, true: fpaf0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: fgwr0, true: fpaf0, file: sa2, noise: SIGNAL020.wav, level: 0 dB.
pred: fjem0, true: fpas0, file: sa1, noise: SIGNAL018.wav, level: 0 dB.
pred: fpas0, true: fpas0, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: fceg0, true: fpaz0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fhes0, true: fpaz0, file: sa2, noise: SIGNAL015.wav, level: 0 dB.
pred: fpjf0, true: fpjf0, file: sa1, noise: SIGNAL024.wav, level: 0 dB.
pred: fdas1, true: fpjf0, file: sa2, noise: SIGNAL008.wav, level: 0 dB.
pred: fpkt0, true: fpkt0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fpkt0, true: fpkt0, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: fkfb0, true: fpls0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fsdc0, true: fpls0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fpmy0, true: fpmy0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fpmy0, true: fpmy0, file: sa2, noise: SIGNAL016.wav, level: 0 dB.
pred: fexm0, true: fram1, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fhew0, true: fram1, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: flac0, true: freh0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fram1, true: freh0, file: sa2, noise: SIGNAL008.wav, level: 0 dB.
pred: fjxp0, true: frew0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fdas1, true: frew0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fcjs0, true: frjb0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fsjs0, true: frjb0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: frll0, true: frll0, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
